Dist,providerListingId,detailUrl,address,addressStreet,addressCity,addressState,addressZipcode,latLong,buildingName,isBuilding,availabilityCount,isInstantTourEnabled,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,availabilityDate,latitude,longitude,crime_cnt_2b,safety_pr,nearest_supermarket,nearest_supermarket_distance_meters,supermarket_duration_seconds,supermarket_commute_fare,supermarket_location,nearest_park,nearest_park_distance_meters,nearest_park_seconds,park_commute_fare,park_location,office_trans_dist_car,office_trans_duration_car,office_trans_cost_car,office_trans_dist_transit,office_trans_duration_transit,office_trans_cost_transit,school_trans_dist_car,school_trans_duration_car,school_trans_cost_car,school_trans_dist_transit,school_trans_duration_transit,school_trans_cost_transit
Queen,2p1pgfphbwy4k,https://www.zillow.com/homedetails/2546-Gilman-Dr-W-APT-2-Seattle-WA-98119/2060322014_zpid/,"2546 Gilman Dr W APT 2, Seattle, WA 98119",2546 Gilman Dr W APT 2,Seattle,WA,98119,"{'latitude': 47.6419, 'longitude': -122.375046}",,,,,$,2950,2950.0,False,2.0,1.0,1128.0,,47.6419,-122.375046,7,29.89399293286219,H Mart UW,680,536,,,,,,,,4526,779,,6667,2061,,7861,1026,,9083,2304,
Queen,w1sau39pg05c,https://www.zillow.com/apartments/queen-anne-wa/900-queen-anne-apartments/5jF2cD/,"900 Queen Anne Apartments, 900 Queen Anne Ave N UNIT 101, Seattle, WA 98109",900 Queen Anne Ave N UNIT 101,Seattle,WA,98109,"{'latitude': 47.62749, 'longitude': -122.35631}",,,,,$,1959,1959.0,False,1.0,1.0,750.0,,47.62749,-122.35631,4,62.3321554770318,Trader Joe's,1974,1870,,,,,,,,2060,505,,3027,1437,,7239,971,,11924,2751,
Queen,pb7t0hadwevt,https://www.zillow.com/homedetails/715-Warren-Ave-N-APT-1-Seattle-WA-98109/2083118193_zpid/,"715 Warren Ave N APT 1, Seattle, WA 98109",715 Warren Ave N APT 1,Seattle,WA,98109,"{'latitude': 47.62594, 'longitude': -122.35448}",,,,,$,1450,1450.0,False,1.0,1.0,500.0,2025-01-06 00:00:00,47.62594,-122.35448,6,39.46996466431095,H Mart UW,169,134,,,,,,,,1657,414,,3017,1410,,6836,880,,11891,2707,
Queen,4wyaqnf9vd53g,https://www.zillow.com/b/nordic-lofts-seattle-wa-5Zj9hT/,"Nordic Lofts, 3238 15th Ave W APT 6, Seattle, WA 98119",3238 15th Ave W APT 6,Seattle,WA,98119,"{'latitude': 47.649635, 'longitude': -122.37581}",,,,,$,2495,2495.0,False,2.0,1.0,840.0,2025-02-01 00:00:00,47.649635,-122.37581,9,17.73851590106007,Eastlake Market,395,352,,,,,,,,5530,784,,7468,2091,,6443,986,,8098,2082,
Queen,563mxbu6kscqj,https://www.zillow.com/homedetails/3641-Evanston-Ave-N-APT-102-Seattle-WA-98103/2097496572_zpid/,"3641 Evanston Ave N APT 102, Seattle, WA 98103",3641 Evanston Ave N APT 102,Seattle,WA,98103,"{'latitude': 47.652824, 'longitude': -122.35162}",,,,,$,1795,1795.0,False,1.0,1.0,595.0,2025-03-01 00:00:00,47.652824,-122.35162,2,86.57243816254417,Trader Joe's,342,311,,,,,,,,4617,566,,3862,1161,,3757,637,,4891,1513,
Queen,2v3xa4kqvtnb2,https://www.zillow.com/homedetails/2117-8th-Ave-N-Seattle-WA-98109/49127352_zpid/,"2117 8th Ave N, Seattle, WA 98109",2117 8th Ave N,Seattle,WA,98109,"{'latitude': 47.63844, 'longitude': -122.34239}",,,,,$,3400,3400.0,False,3.0,2.0,1056.0,,47.63844,-122.34239,7,29.89399293286219,H Mart UW,1896,516,,,,,,,,2239,457,,2043,712,,5306,692,,5466,2036,
Queen,379676ub8b368,https://www.zillow.com/homedetails/3800-Bridge-Way-N-APT-101-Seattle-WA-98103/2082373255_zpid/,"3800 Bridge Way N APT 101, Seattle, WA 98103",3800 Bridge Way N APT 101,Seattle,WA,98103,"{'latitude': 47.652946, 'longitude': -122.34504}",,,,,$,2200,2200.0,False,2.0,1.0,800.0,2025-01-15 00:00:00,47.652946,-122.34504,2,86.57243816254417,Safeway,1502,1465,,,,,,,,4737,569,,4924,1533,,3026,469,,4513,1490,
Queen,4cdtt5wzw4m9p,https://www.zillow.com/homedetails/2042-14th-Ave-W-APT-C-Seattle-WA-98119/97782836_zpid/,"2042 14th Ave W APT C, Seattle, WA 98119",2042 14th Ave W APT C,Seattle,WA,98119,"{'latitude': 47.63802, 'longitude': -122.37455}",,,,,$,3450,3450.0,False,3.0,3.0,1520.0,2025-01-15 00:00:00,47.63802,-122.37455,3,74.59363957597174,H Mart UW,2586,879,,,,,,,,4295,847,,6434,2054,,8637,1217,,9551,2342,
Queen,3e5phyzfe842r,https://www.zillow.com/homedetails/3452-14th-Ave-W-Seattle-WA-98119/48825093_zpid/,"3452 14th Ave W, Seattle, WA 98119",3452 14th Ave W,Seattle,WA,98119,"{'latitude': 47.651875, 'longitude': -122.37452}",,,,,$,3960,3960.0,False,4.0,3.0,1800.0,,47.651875,-122.37452,4,62.3321554770318,H Mart UW,404,364,,,,,,,,5672,738,,7599,2059,,6584,940,,8245,2278,
Queen,55bnku8955uh8,https://www.zillow.com/homedetails/905-W-Emerson-St-Seattle-WA-98119/117745654_zpid/,"905 W Emerson St, Seattle, WA 98119",905 W Emerson St,Seattle,WA,98119,"{'latitude': 47.652126, 'longitude': -122.369354}",,,,,$,5450,5450.0,False,3.0,3.0,1880.0,2025-01-01 00:00:00,47.652126,-122.369354,2,86.57243816254417,Safeway,1129,1098,,,,,,,,4797,710,,6000,2180,,5710,913,,6973,1989,
Queen,2pp0puuzwjsha,https://www.zillow.com/homedetails/701-McGraw-St-Seattle-WA-98109/2101061062_zpid/,"701 McGraw St, Seattle, WA 98109",701 McGraw St,Seattle,WA,98109,"{'latitude': 47.63945, 'longitude': -122.34389}",,,,,$,3850,3850.0,False,3.0,3.0,1563.0,,47.63945,-122.34389,3,74.59363957597174,Safeway,470,382,,,,,,,,2315,438,,2506,886,,4929,633,,5553,1804,
Queen,k6vr1tt449g2,https://www.zillow.com/homedetails/3938-Woodland-Park-Ave-N-B-Seattle-WA-98103/2054239578_zpid/,"3938 Woodland Park Ave N #B, Seattle, WA 98103",3938 Woodland Park Ave N #B,Seattle,WA,98103,"{'latitude': 47.65525, 'longitude': -122.34432}",,,,,$,1595,1595.0,False,1.0,1.0,850.0,2025-02-01 00:00:00,47.65525,-122.34432,2,86.57243816254417,Eastlake Market,1372,710,,,,,,,,4695,535,,5090,1514,,2820,443,,2769,1397,
Queen,4y6tjt8jsqb1,https://www.zillow.com/b/the-standard-apartments-seattle-wa-5jDyQ4/,"The Standard Apartments, 512 5th Ave W #12-08, Seattle, WA 98119",512 5th Ave W #12-08,Seattle,WA,98119,"{'latitude': 47.623856, 'longitude': -122.36287}",,,,,$,1625,1625.0,False,1.0,1.0,600.0,2025-01-11 00:00:00,47.623856,-122.36287,12,5.229681978798581,H Mart UW,235,224,,,,,,,,2239,543,,4212,1603,,7419,1009,,11415,2568,
