,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
1027130,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,8XX BLOCK OF FAIRVIEW AVE N,-122.334203646,47.62613482
1027210,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,26XX BLOCK OF 5TH AVE,-122.3468612,47.61824079
1027214,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1027227,2023,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,3RD AVE / VIRGINIA ST,-122.340892,47.612398
1027228,2023,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,3RD AVE / VIRGINIA ST,-122.340892,47.612398
1027278,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,25XX BLOCK OF 5TH AVE,-122.345778726,47.61763207
1027298,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
1027304,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
1027316,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,5XX BLOCK OF BELL ST,-122.342644663,47.61636559
1027430,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,9TH AVE N / DENNY WAY,-122.339832352,47.61854013
1027431,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,9TH AVE N / DENNY WAY,-122.339832352,47.61854013
1027455,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,1XX BLOCK OF WESTLAKE AVE N,-122.33847998,47.61911987
1027479,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
1027489,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
1027513,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,21XX BLOCK OF 5TH AVE,-122.341124278,47.61488028
1027532,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879,47.61588661
1027533,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879,47.61588661
1027543,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.61788922
1027546,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879,47.61588661
1027591,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1027608,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.3310702,47.62196996
1027619,2023,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SLU/CASCADE,27XX BLOCK OF 4TH AVE,-122.348506,47.61807131
1027635,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,1XX BLOCK OF 6TH AVE N,-122.345006286,47.61914523
1027671,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF BLANCHARD ST,-122.343064,47.614268
1027685,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,WESTLAKE AVE / 6TH AVE,-122.3375632,47.61394697
1027705,2023,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1027710,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.345841,47.61856414
1027742,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,11XX BLOCK OF DENNY WAY,-122.33559845,47.61852277
1027802,2023,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
1027811,2023,A,PROPERTY,LARCENY-THEFT,Purse-snatching,23B,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1027846,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,3XX BLOCK OF WESTLAKE AVE N,-122.338460531,47.62145765
1027936,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
1027945,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,8XX BLOCK OF HOWELL ST,-122.333645381,47.61445322
1027948,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.61788922
1027960,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879034,47.61588661
1027962,2023,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,12XX BLOCK OF THOMAS ST,-122.332345086,47.62081538
1027963,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,DENNY WAY / 4TH AVE,-122.348925201,47.61857627
1027973,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,21XX BLOCK OF 3RD AVE,-122.3428432,47.61355147
1027984,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
1027985,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1028030,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,10XX BLOCK OF MERCER ST,-122.3364793,47.62454524
1028034,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1028049,2023,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
1028078,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,5XX BLOCK OF PONTIUS AVE N,-122.33172195,47.62369581
1028126,2023,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.3454439,47.61508874
1028155,2023,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.3454439,47.61508874
1028291,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,22XX BLOCK OF 4TH AVE,-122.3432842,47.61498466
1028296,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,10XX BLOCK OF LENORA ST,-122.335748963,47.61816989
1028308,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
1028314,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1028317,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
1028326,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF EASTLAKE AVE E,-122.3291528,47.62255122
1028339,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1028340,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
1028363,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,20XX BLOCK OF FAIRVIEW AVE,-122.334252982,47.6181844
1028382,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
1028390,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF 8TH AVE N,-122.341060913,47.62263512
1028406,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,5XX BLOCK OF 5TH AVE N,-122.347576788,47.6239021
1028407,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,5XX BLOCK OF 5TH AVE N,-122.347576788,47.6239021
1028408,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,5XX BLOCK OF 5TH AVE N,-122.347576788,47.6239021
1028409,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.34846854,47.61746323
1028429,2023,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,22XX BLOCK OF 3RD AVE,-122.3441436,47.61432035
1028430,2023,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,4XX BLOCK OF YALE AVE N,-122.3304319,47.62254749
1028474,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
1028485,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,1XX BLOCK OF BOREN AVE N,-122.335871375,47.61910958
1028498,2023,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,BOREN AVE / VIRGINIA ST,-122.334017894,47.61771363
1028508,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1028538,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,BOREN AVE / OLIVE WAY,-122.330729691,47.61544972
1028541,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
1028555,2023,A,PROPERTY,ARSON,Arson,200,SLU/CASCADE,19XX BLOCK OF 9TH AVE,-122.33508605,47.61600093
1028567,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,VALLEY ST / FAIRVIEW AVE N,-122.334352911,47.62576877
1028571,2023,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,SLU/CASCADE,7XX BLOCK OF FAIRVIEW AVE N,-122.334344369,47.62544473
1028582,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
1028612,2023,A,PROPERTY,FRAUD OFFENSES,Impersonation,26C,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165507,47.61605329
1028625,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,4XX BLOCK OF LENORA ST,-122.3409034,47.61416338
1028664,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
1028692,2023,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
1028699,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1028710,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF 4TH AVE,-122.340683,47.61344689
1028735,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,9XX BLOCK OF LENORA ST,-122.336607,47.617486
1028750,2023,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,12XX BLOCK OF HARRISON ST,-122.332352257,47.62197081
1028766,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1028807,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF STEWART ST,-122.336584689,47.61395514
1028846,2023,A,PROPERTY,COUNTERFEITING/FORGERY,Counterfeiting/Forgery,250,SLU/CASCADE,22XX BLOCK OF 8TH AVE,-122.339845,47.617643
1028879,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,4XX BLOCK OF WESTLAKE AVE N,-122.338450991,47.62262519
1028904,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,21XX BLOCK OF 3RD AVE,-122.3428432,47.61355147
1028905,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,3XX BLOCK OF CEDAR ST,-122.348468,47.617463
1028910,2023,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,SLU/CASCADE,22XX BLOCK OF 6TH AVE,-122.34156472,47.61631394
1028911,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,5XX BLOCK OF BELL ST,-122.34264466,47.61636559
1028927,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,6XX BLOCK OF STEWART ST,-122.336584689,47.61395514
1028940,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,24XX BLOCK OF 4TH AVE,-122.345702746,47.61641416
1029002,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,2XX BLOCK OF 5TH AVE N,-122.347606025,47.62032368
1029070,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337879034,47.61588661
1029139,2023,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,20XX BLOCK OF BOREN AVE,-122.334785872,47.61818657
1029220,2023,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,SLU/CASCADE,5XX BLOCK OF MERCER ST,-122.3469186,47.62455977
1029222,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,8TH AVE / WESTLAKE AVE,-122.337893627,47.61649021
1029281,2023,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337653877,47.61438941
1029308,2023,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,3XX BLOCK OF LENORA ST,-122.341762926,47.61349901
1029384,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,3RD AVE / CEDAR ST,-122.348897998,47.61713109
1029427,2023,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
1029428,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,2XX BLOCK OF MINOR AVE N,-122.332983074,47.62023779
1029433,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,3RD AVE / BELL ST,-122.344793514,47.61470458
1029457,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,19XX BLOCK OF 5TH AVE,-122.338523508,47.61334267
1029470,2023,A,PROPERTY,LARCENY-THEFT,Purse-snatching,23B,SLU/CASCADE,21XX BLOCK OF 5TH AVE,-122.3411243,47.61488028
1029480,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,6XX BLOCK OF STEWART ST,-122.336584689,47.61395514
1029515,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1029516,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1029523,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,1XX BLOCK OF 6TH AVE N,-122.345006286,47.61914523
1029535,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,4XX BLOCK OF MINOR AVE N,-122.332996526,47.62254475
1029537,2023,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,1XX BLOCK OF BOREN AVE N,-122.335871375,47.61910958
1029543,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,3XX BLOCK OF LENORA ST,-122.341762926,47.61349901
1029545,2023,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,STEWART ST / 9TH AVE,-122.334436316,47.61561648
1029550,2022,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,8XX BLOCK OF REPUBLICAN ST,-122.340403415,47.62321651
1029558,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,STEWART ST / 5TH AVE,-122.337873474,47.61295826
1029560,2023,A,PROPERTY,FRAUD OFFENSES,Identity Theft,26F,SLU/CASCADE,23XX BLOCK OF 3RD AVE,-122.3454439,47.61508874
1029565,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,22XX BLOCK OF 4TH AVE,-122.343284238,47.61498466
1029573,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,12XX BLOCK OF JOHN ST,-122.331057001,47.6196669
1029645,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,2XX BLOCK OF 9TH AVE N,-122.339773647,47.62029471
1029655,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,1XX BLOCK OF 6TH AVE N,-122.345006286,47.61914523
1029664,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 7TH AVE N,-122.343653517,47.62030595
1029829,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF DEXTER AVE N,-122.342386714,47.620304
1029868,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,8XX BLOCK OF VIRGINIA ST,-122.336165509,47.6160533
1029961,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,STEWART ST / YALE AVE,-122.330999408,47.61827376
1029964,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,9XX BLOCK OF HARRISON ST,-122.339107974,47.62204367
1029969,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,DEXTER AVE N / HARRISON ST,-122.342371584,47.62205574
1029993,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,5XX BLOCK OF BELL ST,-122.342645,47.616366
1030013,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,TERRY AVE N / REPUBLICAN ST,-122.337142388,47.62320452
1030014,2023,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,SLU/CASCADE,TERRY AVE N / REPUBLICAN ST,-122.337142388,47.62320452
1030015,2023,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,SLU/CASCADE,3XX BLOCK OF TERRY AVE N,-122.337156287,47.62145271
1030047,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,BELL ST / 5TH AVE,-122.343074947,47.61603294
1030060,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE N,-122.341253135,47.63886898
1030061,2023,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE N,-122.341253135,47.63886898
1030077,2023,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,VIRGINIA ST / 9TH AVE,-122.335735795,47.61638539
1030085,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,4XX BLOCK OF AURORA AVE N,-122.343999281,47.62263197
1030159,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1030181,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,MINOR AVE N / THOMAS ST,-122.332986388,47.62081361
1030192,2023,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,21XX BLOCK OF 7TH AVE,-122.339404062,47.61621007
1030199,2023,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,4TH AVE / BLANCHARD ST,-122.342634081,47.6146004
1030208,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF DEXTER AVE N,-122.342386714,47.620304
1030227,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,20XX BLOCK OF 3RD AVE,-122.341542597,47.61278241
1030236,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF VINE ST,-122.346675352,47.61757583
1030248,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,19XX BLOCK OF WESTLAKE AVE,-122.337497,47.613624
1030264,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.351483825,47.62500382
1030290,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,22XX BLOCK OF 7TH AVE,-122.340704476,47.61697878
1030347,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
1030348,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
1030387,2023,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,SLU/CASCADE,10XX BLOCK OF VALLEY ST,-122.336661554,47.62578783
1030394,2023,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,8XX BLOCK OF FAIRVIEW AVE N,-122.334203646,47.62613482
1030405,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,12XX BLOCK OF THOMAS ST,-122.332345086,47.62081538
1030422,2023,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
1030450,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,21XX BLOCK OF 5TH AVE,-122.341124279,47.61488028
1030454,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
1030529,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,7XX BLOCK OF JOHN ST,-122.341739116,47.61971714
1030557,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.351483825,47.62500382
1030620,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,JOHN ST / 7TH AVE N,-122.343680024,47.61971904
1030662,2023,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF BOREN AVE N,-122.335842718,47.62261533
1030675,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
1030696,2023,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,2XX BLOCK OF WESTLAKE AVE N,-122.338470386,47.62028978
1030700,2023,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,BLANCHARD ST / 5TH AVE,-122.341774895,47.61526498
1030848,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 6TH AVE N,-122.345007,47.620314
1030891,2023,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1030909,2023,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,5XX BLOCK OF BELL ST,-122.342645,47.616366
1030926,2023,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,SLU/CASCADE,8XX BLOCK OF TERRY AVE N,-122.33711996,47.62598646
