,Year,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,MCPP,100 Block Address,Longitude,Latitude
1102173,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,DENNY WAY / 9TH AVE,-122.339375749,47.61853819
1102224,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
1102235,2024,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SLU/CASCADE,18XX BLOCK OF MINOR AVE,-122.331208693,47.617225
1102246,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,4XX BLOCK OF DEXTER AVE N,-122.34236642,47.62263975
1102255,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.33294187,47.6158847
1102286,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,EASTLAKE AVE E / ROY ST,-122.329166675,47.62512052
1102294,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,18XX BLOCK OF TERRY AVE,-122.332942,47.615885
1102307,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,11XX BLOCK OF REPUBLICAN ST,-122.333646875,47.62311893
1102331,2024,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SLU/CASCADE,18XX BLOCK OF BOREN AVE,-122.332067369,47.61655803
1102337,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF YALE AVE N,-122.3305621,47.62463779
1102345,2024,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,18XX BLOCK OF YALE AVE,-122.330349,47.61788922
1102373,2024,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SLU/CASCADE,5XX BLOCK OF DENNY WAY,-122.345841,47.61856414
1102385,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,2XX BLOCK OF 7TH AVE N,-122.343653517,47.62030595
1102426,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,REPUBLICAN ST / MINOR AVE N,-122.332999873,47.623116
1102435,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,2XX BLOCK OF 8TH AVE N,-122.341081499,47.62029929
1102446,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,11XX BLOCK OF FAIRVIEW AVE N,-122.32888058,47.6303008
1102472,2024,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,SLU/CASCADE,22XX BLOCK OF WESTLAKE AVE,-122.338451686,47.61833048
1102520,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,11XX BLOCK OF FAIRVIEW AVE N,-122.328881,47.630301
1102524,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,10XX BLOCK OF MERCER ST,-122.336478211,47.62468353
1102535,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
1102540,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,20XX BLOCK OF 7TH AVE,-122.338295122,47.61555441
1102547,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,LENORA ST / 4TH AVE,-122.341333144,47.61383118
1102557,2024,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SLU/CASCADE,20XX BLOCK OF WESTLAKE AVE,-122.337790776,47.61505761
1102624,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,13XX BLOCK OF STEWART ST,-122.330566219,47.61860867
1102634,2024,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,SLU/CASCADE,FAIRVIEW AVE N / JOHN ST,-122.334260945,47.6196648
1102691,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,9XX BLOCK OF JOHN ST,-122.337822931,47.6197029
1102862,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
1102883,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,6XX BLOCK OF ROY ST,-122.344315,47.625416
1102937,2024,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,19XX BLOCK OF TERRY AVE,-122.334227065,47.61666508
1102972,2024,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,VIRGINIA ST / 5TH AVE,-122.339173567,47.61372707
1103031,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,9XX BLOCK OF FAIRVIEW AVE N,-122.3324647,47.62748318
1103078,2024,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SLU/CASCADE,4XX BLOCK OF TERRY AVE N,-122.337146941,47.62262048
1103086,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,1XX BLOCK OF BOREN AVE N,-122.335871381,47.61910958
1103105,2024,A,PROPERTY,ROBBERY,Robbery,120,SLU/CASCADE,3XX BLOCK OF TERRY AVE N,-122.337156287,47.62145271
1103106,2024,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SLU/CASCADE,12XX BLOCK OF REPUBLICAN ST,-122.332359148,47.62311779
1103124,2024,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SLU/CASCADE,10XX BLOCK OF FAIRVIEW AVE N,-122.331849,47.62796758
